,Unnamed: 0,word,entity_group
0,0,Buongiorno,others
1,1,"Dario,;",others
2,2,avrei,others
3,3,una,others
4,4,spedizione,others
5,5,pronta,others
6,6,per,others
7,7,il,others
8,8,Canada,delivery_state
9,9,",",others
10,10,si,others
11,11,tratta,others
12,12,di,others
13,13,:;,others
14,14,8,quantity
15,15,cartoni,package_type
16,16,;,others
17,17,51x37x60;,measures
18,18,5,quantity
19,19,cartoni,package_type
20,20,;,others
21,21,"50,5x36,5x31,5",measures
22,22,;,others
23,23,Tot.,others
24,24,13,total_quantity
25,25,cartoni,package_type
26,26,;,others
27,27,"Kg 214,74",weight
28,28,;,others
29,29,Volume,others
30,30,"1,194;",total_volume
31,31,Riuscite,others
32,32,a,others
33,33,mandarmi,others
34,34,la,others
35,35,quotazione,others
36,36,e,others
37,37,a,others
38,38,ritirare,others
39,39,domani?;,others
40,40,Grazie!;,others
41,41,Edea Srl,company
42,0,Buongiorno,others
43,1,Mirko;,others
44,2,Di,others
45,3,seguito,others
46,4,invio,others
47,5,i,others
48,6,dati,others
49,7,per,others
50,8,i,others
51,9,quali,others
52,10,chiedo,others
53,11,gentilmente,others
54,12,una,others
55,13,quotazione.,others
56,14,Tenga,others
57,15,conto,others
58,16,per,others
59,17,cortesia,others
60,18,che,others
61,19,le,others
62,20,intestazioni,others
63,21,della,others
64,22,merce,others
65,23,sono,others
66,24,4,others
67,25,mentre,others
68,26,le,others
69,27,destinazioni,others
70,28,sono,others
71,29,2,others
72,30,Si,others
73,31,tratta,others
74,32,sempre,others
75,33,di,others
76,34,"calendari,",commodity
77,35,cartoline,commodity
78,36,e,commodity
79,37,cataloghi.,commodity
80,38,RITIRO,others
81,39,PRESSO;,others
82,40,Cartotecnica,others
83,41,2,others
84,42,EMME,others
85,43,Bassano d. Grappa,pickup_location
86,44,;,others
87,45,MATERIALE;,others
88,46,intestazione;,others
89,47,destinazione;,others
90,48,N,others
91,49,bancali,others
92,50,;,others
93,51,misura;,others
94,52,peso,others
95,53,COMPLESS,others
96,54,IVO,others
97,55,KG,others
98,56,;,others
99,57,COMMONWEALT SOUVENIRS,company
101,59,4862,others
102,60,UN,others
103,61,ION MAINE,others
104,62,-,others
105,63,USA,others
106,64,;,others
107,65,1,others
108,66,;,others
109,67,70X100X130h,measures
110,68,;,others
111,69,305,others
112,70,;,others
113,71,MAINE SCENE,others
114,72,INC;,others
115,73,4862,others
116,74,UNION,others
117,75,MAINE,others
118,76,-,others
119,77,USA,others
120,78,;,others
121,79,5,others
122,80,;,others
123,81,70X100X150h,measures
124,82,;,others
125,83,2420,others
126,84,;,others
127,85,EASTERN,others
128,86,ILLUSTRATING;,others
129,87,4862,others
130,88,UN,others
131,89,ION,others
132,90,MAINE,others
133,91,-,others
134,92,USA,others
135,93,;,others
136,94,1,others
137,95,;,others
138,96,70X100X80h,measures
139,97,;,others
140,98,230,others
141,99,;,others
142,100,VERMONT ILLUSTRATING,others
143,101,;,others
144,102,3784,others
145,103,WEST LEBANON,others
146,104,-,others
147,105,USA,others
148,106,;,others
149,107,2,others
150,108,;,others
151,109,70X100X150h,measures
152,110,;,others
153,111,550; 9; 3505,others
154,0,Ciao,others
155,1,Mirko;,others
156,2,avrei,others
157,3,bisogno,others
158,4,per,others
159,5,cortesia,others
160,6,della,others
161,7,quotazione,others
162,8,per,others
163,9,il,others
164,10,seguente,others
165,11,trasporto:;,others
166,12,Ritiro,others
167,13,presso;,others
168,14,CARTOTECNICA,others
169,15,2,others
170,16,EMME,others
171,17,"; QUARTIERE PRÉ, 17/21;",others
172,18,36061,others
173,19,– BASSANO DEL GRAPPA (VI);,others
174,20,MATERIALE:;,others
175,21,N°,others
176,22,3,quantity
177,23,BANCALI,package_type
178,24,100X120X140H,measures
179,25,PESO,others
180,26,COPLESSIVO,others
181,27,DI,others
182,28,1650KG,weight
183,29,;,others
184,30,MATERIALE,others
185,31,DISPONIBILE,others
186,32,AL,others
187,33,RITIRO;,others
188,34,Consegna,others
189,35,presso;,others
190,36,4317,others
191,37,"EAST PARKWAY; GATLINBURG,",others
192,38,37738,others
193,39,"; TENNESEE,",others
194,40,USA,others
195,0,Ciao,others
196,1,"Dario,;",others
197,2,;Dovrei,others
198,3,spedire,others
199,4,negli,others
200,5,UAE,others
201,6,un,others
202,7,pallet,others
203,8,90x145xH70 cm,measures
204,9,del,others
205,10,peso,others
206,11,lordo,others
207,12,complessivo,others
208,13,di,others
209,14,120 kg.,weight
210,15,;,others
211,16,;Destinatario:;,others
212,17,;Sheikh,others
213,18,Abdulla,others
214,19,Bi,others
215,20,Rashid,others
216,21,Al,others
217,22,Mualla,others
218,23,;,others
219,24,King Faisal Road ;,others
220,25,5000,others
221,26,Al Quwain City UAQ,others
